2,"Супервайзер / Территориальный менеджер (VICHY, г. Москва)","<a itemprop=""hiringOrganization"" href=""/employer/590""> L'Oreal</a>"," L'Oreal","з/п не указана",Москва,"3–6 лет","работа с партнером, национальными и локальными аптечными сетями управление командой из 8 штатных коммерческих представителей, обучение, коучинг команды выполнение коммерческих показателей, обеспечение прироста товарооборота участие в проведении трейд-маркетинговых мероприятий","высшее образование сильные аналитические навыки, продвинутые навыки владения EXCEL опыт работы в продажах опыт управления командой сильные коммерческие навыки ориентированность на клиента стрессоустойчивость целеустремленность, ответственность желание расти и развиваться в продажах права категории B, опыт вождения (МКПП) опытный пользователь ПК.",NULL,,"конкурентоспособную заработную плату и премиальные опыт международной компании карьерное развитие возможности обучения широкое поле ответственности служебный автомобиль медицинское страхование, страхование жизни оплата обедов, оплата мобильной связи",,"Полная занятость, полный день",2015-01-19T10:55:31.297+03:00,9ee099bb9a070f88e3bfe6021324a85e
3,"Руководитель отдела продаж","<a itemprop=""hiringOrganization"" href=""/employer/752452""> Нормальное дыхание, ЛОЦ</a>"," Нормальное дыхание, ЛОЦ","от 50 000 до 150 000 руб.","Москва, <span class=""metro-station""><span class=""metro-point"" style=""background: #4FB04F""></span>Новокузнецкая</span>","3–6 лет",,"опыт работы (от 3 лет) в области медицинских продаж, без опыта работы в подобной сфере просьба не обращаться владение техникой и инструментами продаж техника ведения деловых переговоров, противостояние манипуляциям, жесткие переговоры, понимание принципов управленческой деятельности и принятия эффективных решений умение работать в команде умение проводить презентации, опыт подготовки материалов для сайта, пресс-релизов, публичных выступлений уверенный пользователь ПК наличие личного транспортного средства - желательно активная жизненная позиция",NULL,,"работа в небольшом, но очень перспективном медицинском центре оформление по ТК РФ 5-ти дневная рабочая неделя прикрепление на медобслуживание полный рабочий день разъездной образ работы","Москва, Большой Овчинниковский переулок, 16, м. Новокузнецкая","Полная занятость, полный день",2015-01-17T11:16:51.730+03:00,788efdbd97c276a67925997c0559293a
4,"Руководитель отдела закупок и клиентского сервиса","<a itemprop=""hiringOrganization"" href=""/employer/1375332""> МедГранд</a>"," МедГранд","от 80 000 до 120 000 руб.","Москва, <span class=""metro-station""><span class=""metro-point"" style=""background: #0072BA""></span>Курская</span>","1–3 года",,,NULL,,,"Москва, Нижняя Сыромятническая улица, 11, м. Курская","Полная занятость, полный день",2015-01-15T14:45:57.778+03:00,d143cb1537096be6d56009825f7dc336
5,"Специалист по регистрации лекарственных средств","<a itemprop=""hiringOrganization"" href=""/employer/4609""> TEVA</a>"," TEVA","з/п не указана",Москва,"1–3 года",,"Высшее медицинское, фармацевтическое, химико-технологическое или биологическое образование Стаж работы в должности специалиста по регистрации ЛС не менее 1 года обязателен Уверенный пользователь ПК Английский язык - не ниже intermediate level (устный и письменный) Опыт регистрации биологических препаратов будет являться преимуществом Аналитический склад ума, ответственность, умение работать в команде Знание основных положений нормативной базы, в том числе №61-ФЗ «Об обращении лекарственных средств», указов Президента РФ, постановлений Правительства РФ, приказов и положений Министерства здравоохранения, Федеральной службы по надзору в сфере здравоохранения и других государственных органов Знание других действующих нормативных актов государственных органов РФ, влияющих на вопросы регулирования обращения ЛС, принципов и основ правил GMP",NULL,"Привлекательная заработная плата Социальный пакет Возможности профессионального и карьерного развития",,"Москва, улица Шаболовка, 10к2","Полная занятость, полный день",2015-01-15T09:46:22.498+03:00,bbc7048346ce96fe15e30dd662f170c3
6,"Менеджер по расходным материалам для медицинских лабораторий в г. Москва","<a itemprop=""hiringOrganization"" href=""/employer/742812"">ООО ЦРМ Сибири</a>","ООО ЦРМ Сибири","з/п не указана","Москва, <span class=""metro-station""><span class=""metro-point"" style=""background: #943E90""></span>Беговая</span>","1–3 года",,"Профильное образование – с пониманием сути работы лабораторной службы Опыт работы от 1 года в лаборатории или в закупках лабораторных расходных материалов, лабораторного оборудования Высшее образование; Наличие рекомендаций; Умение работать с большим объемом информации.",NULL,"Трудоустройства в г. Москва Работа в офисе – 8.00-17.00 или 9.00-18.00 Полностью официальная заработная плата, полный соц. пакет согласно ТК РФ Возможность профессионального роста Программы обучения Размер заработной платы определяется индивидуально, по итогам собеседования",,"Москва, 2-я Магистральная улица, 16ас3, м. Беговая","Полная занятость, полный день",2015-01-14T15:43:06.940+03:00,3843ebfceda0ebf5fa28e908923024cb
7,"Менеджер по продажам (стоматология)/медицинский представитель","<a itemprop=""hiringOrganization"" href=""/employer/1240502"">ООО ТКФ Медтроник</a>","ООО ТКФ Медтроник","от 70 000 руб.",Москва,"1–3 года",,,NULL,"Работа по ТК РФ Обучение в этой сфере График работы 5/2 с 9:30 до 18:00",,"г.Москва ул.Маршала Тимошенко д.23 стр.2","Полная занятость, полный день",2015-01-14T13:31:13.899+03:00,6b800ee8a129a1484d0163330b35691e
8,"Менеджер по закупу/продаже медицинских расходных материалов (общебольничный ассортимент)","<a itemprop=""hiringOrganization"" href=""/employer/742812"">ООО ЦРМ Сибири</a>","ООО ЦРМ Сибири","з/п не указана",Новосибирск,"1–3 года",,,NULL,,,"Новосибирск, Демакова, 30","Полная занятость, полный день",2015-01-14T07:55:22.618+03:00,feac5afec763eff547eeb94650445b4d
9,"Менеджер по закупу/продаже медицинских расходных материалов (рентгенхирургия)","<a itemprop=""hiringOrganization"" href=""/employer/742812"">ООО ЦРМ Сибири</a>","ООО ЦРМ Сибири","з/п не указана",Новосибирск,"1–3 года",,,NULL,,,"Новосибирск, Демакова, 30","Полная занятость, полный день",2015-01-14T07:53:48.904+03:00,ebe0c439ae162421832d0622f9fe750e
10,"Руководитель отдела закупок и клиентского сервиса","<a itemprop=""hiringOrganization"" href=""/employer/1375332""> МедГранд</a>"," МедГранд","от 80 000 до 120 000 руб.","Москва, <span class=""metro-station""><span class=""metro-point"" style=""background: #0072BA""></span>Курская</span>","1–3 года",,,NULL,,,"Москва, Нижняя Сыромятническая улица, 11, м. Курская","Полная занятость, полный день",2015-01-15T14:45:57.778+03:00,4d5697cb2c2c02aeb449e30930f55b4f
11,"Менеджер по расходным материалам для медицинских лабораторий в г. Москва","<a itemprop=""hiringOrganization"" href=""/employer/742812"">ООО ЦРМ Сибири</a>","ООО ЦРМ Сибири","з/п не указана","Москва, <span class=""metro-station""><span class=""metro-point"" style=""background: #943E90""></span>Беговая</span>","1–3 года",,"Профильное образование – с пониманием сути работы лабораторной службы Опыт работы от 1 года в лаборатории или в закупках лабораторных расходных материалов, лабораторного оборудования Высшее образование; Наличие рекомендаций; Умение работать с большим объемом информации.",NULL,"Трудоустройства в г. Москва Работа в офисе – 8.00-17.00 или 9.00-18.00 Полностью официальная заработная плата, полный соц. пакет согласно ТК РФ Возможность профессионального роста Программы обучения Размер заработной платы определяется индивидуально, по итогам собеседования",,"Москва, 2-я Магистральная улица, 16ас3, м. Беговая","Полная занятость, полный день",2015-01-14T15:43:06.940+03:00,6e127645bf376f4f832bc95d5278bcab
